Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
1947-48,5,Celta,2–0,5–1,4–1,3–2,,4–0,5–0,4–2,3–2,4–1,2–0,1–1,1–1,5–2,,,,,,,,,4,26,14,3,9,45,0.5384615384615384,0.34615384615384615,0.5769230769230769
1947-48,6,Español,2–2,1–0,2–2,2–1,2–1,,1–0,3–1,5–1,2–0,2–0,2–3,0–1,1–3,,,,,,,,,8,26,9,6,11,33,0.34615384615384615,0.4230769230769231,0.4230769230769231
1947-48,7,Gimnástico,4–3,7–1,2–1,1–2,2–2,1–0,,3–0,5–0,3–3,2–0,0–1,2–0,1–0,,,,,,,,,7,26,10,4,12,34,0.38461538461538464,0.46153846153846156,0.4358974358974359
1947-48,8,Oviedo,4–3,2–2,2–2,2–2,1–2,0–0,6–2,,0–0,7–1,3–0,4–2,4–0,1–0,,,,,,,,,9,26,9,5,12,32,0.34615384615384615,0.46153846153846156,0.41025641025641024
1947-48,9,Real Gijón,1–1,1–2,2–7,1–4,3–1,1–1,3–2,2–1,,2–0,4–1,1–2,3–1,1–4,,,,,,,,,14,26,7,4,15,25,0.2692307692307692,0.5769230769230769,0.32051282051282054
1947-48,10,Real Madrid,2–2,5–1,1–1,1–1,1–4,3–1,1–3,2–0,0–1,,3–0,4–0,2–1,1–1,,,,,,,,,11,26,7,7,12,28,0.2692307692307692,0.46153846153846156,0.358974358974359
1947-48,11,Real Sociedad,5–0,0–3,3–1,0–0,4–1,4–2,3–1,1–2,3–2,1–1,,3–0,0–0,0–2,,,,,,,,,13,26,8,3,15,27,0.3076923076923077,0.5769230769230769,0.34615384615384615
1947-48,12,Sabadell,3–2,0–2,1–2,2–4,2–0,3–3,2–2,1–2,5–0,1–1,4–2,,3–1,3–2,,,,,,,,,12,26,9,3,14,30,0.34615384615384615,0.5384615384615384,0.38461538461538464
1947-48,13,Sevilla,2–0,2–1,1–1,4–0,3–1,3–1,3–1,5–1,3–1,2–3,5–0,3–0,,3–0,,,,,,,,,5,26,12,5,9,41,0.46153846153846156,0.34615384615384615,0.5256410256410257
1947-48,14,Valencia,1–0,3–0,3–1,1–3,7–1,1–1,3–1,6–1,3–1,4–2,2–1,4–1,1–0,,,,,,,,,,2,26,15,4,7,49,0.5769230769230769,0.2692307692307692,0.6282051282051282
1946-47,1,Atlético Bilbao,,3–1,1–0,6–0,3–2,6–0,4–1,6–2,4–1,6–2,2–0,2–1,5–0,0–1,,,,,,,,,2,26,15,4,7,49,0.5769230769230769,0.2692307692307692,0.6282051282051282
1946-47,2,Atlético Madrid,4–0,,2–2,3–2,3–2,3–1,8–3,2–2,5–2,2–2,2–3,1–3,1–1,1–1,,,,,,,,,3,26,13,6,7,45,0.5,0.2692307692307692,0.5769230769230769
1946-47,3,Barcelona,2–1,3–2,,3–3,1–1,5–0,5–0,6–2,2–0,4–1,3–2,0–1,5–1,2–1,,,,,,,,,4,26,14,3,9,45,0.5384615384615384,0.34615384615384615,0.5769230769230769
1946-47,4,Castellón,2–2,0–2,4–1,,1–2,1–1,4–3,1–0,3–3,0–2,2–3,4–0,1–4,2–4,,,,,,,,,14,26,4,5,17,17,0.15384615384615385,0.6538461538461539,0.21794871794871795
1946-47,5,Celta,3–2,0–4,2–1,0–0,,4–2,3–2,6–0,3–3,6–2,3–4,2–1,3–0,1–2,,,,,,,,,9,26,11,4,11,37,0.4230769230769231,0.4230769230769231,0.47435897435897434
