Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
2017-18,5,Celta Vigo,1–0,3–1,0–1,2–2,,1–1,2–0,2–2,1–1,3–3,2–1,1–0,4–2,0–0,3–2,2–2,2–3,4–0,1–1,0–1,,,13,38,13,10,15,49,0.34210526315789475,0.39473684210526316,0.4298245614035088
2017-18,6,Deportivo La Coruña,1–0,2–2,0–1,2–4,1–3,,1–1,0–0,2–1,1–2,1–1,1–0,2–2,3–2,0–1,0–3,2–4,0–0,1–2,2–4,,,18,38,6,11,21,29,0.15789473684210525,0.5526315789473685,0.2543859649122807
2017-18,7,Eibar,0–1,0–1,0–1,0–2,0–4,0–0,,3–1,0–1,4–1,1–0,1–0,2–2,1–1,5–0,1–2,0–0,5–1,2–1,1–0,,,9,38,14,9,15,51,0.3684210526315789,0.39473684210526316,0.4473684210526316
2017-18,8,Espanyol,0–0,1–1,1–0,1–1,2–1,4–1,0–1,,1–0,0–1,1–1,0–1,0–0,4–1,1–0,1–0,2–1,0–3,0–2,1–1,,,11,38,12,13,13,49,0.3157894736842105,0.34210526315789475,0.4298245614035088
2017-18,9,Getafe,4–1,2–2,0–1,1–2,3–0,3–0,0–0,1–0,,1–1,2–0,0–0,0–1,1–0,0–1,1–2,2–1,0–1,1–0,4–0,,,8,38,15,10,13,55,0.39473684210526316,0.34210526315789475,0.4824561403508772
2017-18,10,Girona,2–3,2–0,2–2,0–3,1–0,2–0,1–4,0–2,1–0,,6–0,3–0,1–1,1–0,0–1,2–1,1–1,0–1,0–1,1–2,,,10,38,14,9,15,51,0.3684210526315789,0.39473684210526316,0.4473684210526316
2017-18,11,Las Palmas,0–4,1–0,1–5,1–1,2–5,1–3,1–2,2–2,0–1,1–2,,0–2,0–2,1–0,1–0,0–3,0–1,1–2,2–1,0–2,,,19,38,5,7,26,22,0.13157894736842105,0.6842105263157895,0.19298245614035087
2017-18,12,Leganés,1–0,1–0,0–0,0–3,1–0,0–0,0–1,3–2,1–2,0–0,0–0,,0–3,2–0,3–2,1–3,1–0,2–1,0–1,3–1,,,17,38,12,7,19,43,0.3157894736842105,0.5,0.37719298245614036
2017-18,13,Levante,0–2,1–2,0–5,5–4,0–1,2–2,2–1,1–1,1–1,1–2,2–1,0–0,,1–0,0–2,2–2,3–0,2–1,1–1,1–0,,,15,38,11,13,14,46,0.2894736842105263,0.3684210526315789,0.40350877192982454
2017-18,14,Málaga,0–3,3–3,0–1,0–2,2–1,3–2,0–1,0–1,0–1,0–0,1–3,0–2,0–0,,0–2,1–2,2–0,0–1,1–2,1–0,,,20,38,5,5,28,20,0.13157894736842105,0.7368421052631579,0.17543859649122806
2017-18,15,Real Betis,2–0,0–2,0–1,0–5,2–1,2–1,2–0,3–0,2–2,2–2,1–0,3–2,4–0,2–1,,3–5,0–0,2–2,3–6,2–1,,,6,38,18,6,14,60,0.47368421052631576,0.3684210526315789,0.5263157894736842
2017-18,16,Real Madrid,4–0,1–1,1–1,0–3,6–0,7–1,3–0,2–0,3–1,6–3,3–0,2–1,1–1,3–2,0–1,,5–2,5–0,2–2,0–1,,,3,38,22,10,6,76,0.5789473684210527,0.15789473684210525,0.6666666666666666
2017-18,17,Real Sociedad,2–1,3–1,3–0,2–4,1–2,5–0,3–1,1–1,1–2,5–0,2–2,3–2,3–0,0–2,4–4,1–3,,3–1,2–3,3–0,,,12,38,14,7,17,49,0.3684210526315789,0.4473684210526316,0.4298245614035088
2017-18,18,Sevilla,1–0,2–0,2–5,2–2,2–1,2–0,3–0,1–1,1–1,1–0,1–0,2–1,0–0,2–0,3–5,3–2,1–0,,0–2,2–2,,,7,38,17,7,14,58,0.4473684210526316,0.3684210526315789,0.5087719298245614
2017-18,19,Valencia,3–1,3–2,0–0,1–1,2–1,2–1,0–0,1–0,1–2,2–1,1–0,3–0,3–1,5–0,2–0,1–4,2–1,4–0,,0–1,,,4,38,22,7,9,73,0.5789473684210527,0.23684210526315788,0.6403508771929824
2017-18,20,Villarreal,1–2,1–3,2–1,0–2,4–1,1–1,3–0,0–0,1–0,0–2,4–0,2–1,2–1,2–0,3–1,2–2,4–2,2–3,1–0,,,,5,38,18,7,13,61,0.47368421052631576,0.34210526315789475,0.5350877192982456
2016-17,1,Alavés,,1–0,0–0,0–6,3–1,0–0,0–0,0–1,3–1,1–1,2–2,1–1,0–1,1–0,1–4,1–0,1–1,0–0,2–1,2–1,,,9,38,14,13,11,55,0.3684210526315789,0.2894736842105263,0.4824561403508772
2016-17,2,Athletic Bilbao,0–0,,2–2,0–1,2–1,2–1,3–1,2–0,3–1,5–1,1–1,1–0,1–1,2–1,1–2,3–2,3–1,2–1,2–1,1–0,,,7,38,19,6,13,63,0.5,0.34210526315789475,0.5526315789473685
2016-17,3,Atlético Madrid,1–1,3–1,,1–2,3–2,1–0,1–0,0–0,7–1,1–0,2–0,4–2,3–0,1–0,0–3,1–0,3–1,5–0,3–0,0–1,,,3,38,23,9,6,78,0.6052631578947368,0.15789473684210525,0.6842105263157895
2016-17,4,Barcelona,1–2,3–0,1–1,,5–0,4–0,4–2,4–1,1–0,5–0,2–1,0–0,7–1,6–2,1–1,3–2,3–0,6–1,4–2,4–1,,,2,38,28,6,4,90,0.7368421052631579,0.10526315789473684,0.7894736842105263
2016-17,5,Celta Vigo,1–0,0–3,0–4,4–3,,4–1,0–2,2–2,3–1,3–1,0–1,3–1,3–0,0–1,1–4,2–2,0–3,2–1,2–1,0–1,,,13,38,13,6,19,45,0.34210526315789475,0.5,0.39473684210526316
2016-17,6,Deportivo La Coruña,0–1,0–1,1–1,2–1,0–1,,2–1,1–2,0–0,3–0,1–2,2–0,2–0,1–1,2–6,5–1,2–3,2–1,1–1,0–0,,,16,38,8,12,18,36,0.21052631578947367,0.47368421052631576,0.3157894736842105
2016-17,7,Eibar,0–0,0–1,0–2,0–4,1–0,3–1,,1–1,4–0,3–1,2–0,3–0,2–3,3–1,1–4,2–0,1–1,0–1,1–0,2–1,,,10,38,15,9,14,54,0.39473684210526316,0.3684210526315789,0.47368421052631576
2016-17,8,Espanyol,1–0,0–0,0–1,0–3,0–2,1–1,3–3,,3–1,4–3,3–0,2–2,3–0,2–1,0–2,1–2,3–1,2–1,0–1,0–0,,,8,38,15,11,12,56,0.39473684210526316,0.3157894736842105,0.49122807017543857
2016-17,9,Granada,2–1,1–2,0–1,1–4,0–3,1–1,1–2,1–2,,1–0,0–1,0–2,1–1,4–1,0–4,0–2,2–1,0–0,1–3,1–1,,,20,38,4,8,26,20,0.10526315789473684,0.6842105263157895,0.17543859649122806
2016-17,10,Las Palmas,1–1,3–1,0–5,1–4,3–3,1–1,1–0,0–0,5–1,,1–1,1–0,5–2,4–1,2–2,0–1,0–1,1–0,3–1,1–0,,,14,38,10,9,19,39,0.2631578947368421,0.5,0.34210526315789475
2016-17,11,Leganés,1–1,0–0,0–0,1–5,0–2,4–0,1–1,0–1,1–0,3–0,,0–0,2–0,4–0,2–4,0–2,2–3,0–2,1–2,0–0,,,17,38,8,11,19,35,0.21052631578947367,0.5,0.30701754385964913
2016-17,12,Málaga,1–2,2–1,0–2,2–0,3–0,4–3,2–1,0–1,1–1,2–1,4–0,,1–1,1–2,0–2,0–2,4–2,3–2,2–0,0–2,,,11,38,12,10,16,46,0.3157894736842105,0.42105263157894735,0.40350877192982454
2016-17,13,Osasuna,0–1,1–2,0–3,0–3,0–0,2–2,1–1,1–2,2–1,2–2,2–1,1–1,,1–2,1–3,0–2,3–4,2–2,3–3,1–4,,,19,38,4,10,24,22,0.10526315789473684,0.631578947368421,0.19298245614035087
2016-17,14,Real Betis,1–4,1–0,1–1,1–1,3–3,0–0,2–0,0–1,2–2,2–0,2–0,1–0,2–0,,1–6,2–3,1–2,0–0,0–0,0–1,,,15,38,10,9,19,39,0.2631578947368421,0.5,0.34210526315789475
2016-17,15,Real Madrid,3–0,2–1,1–1,2–3,2–1,3–2,1–1,2–0,5–0,3–3,3–0,2–1,5–2,2–1,,3–0,4–1,2–1,2–1,1–1,,,1,38,29,6,3,93,0.7631578947368421,0.07894736842105263,0.8157894736842105
2016-17,16,Real Sociedad,3–0,0–2,2–0,1–1,1–0,1–0,2–2,1–1,2–1,4–1,1–1,2–2,3–2,1–0,0–3,,0–4,3–1,3–2,0–1,,,6,38,19,7,12,64,0.5,0.3157894736842105,0.5614035087719298
2016-17,17,Sevilla,2–1,1–0,1–0,1–2,2–1,4–2,2–0,6–4,2–0,2–1,1–1,4–1,5–0,1–0,2–1,1–1,,0–0,2–1,0–0,,,4,38,21,9,8,72,0.5526315789473685,0.21052631578947367,0.631578947368421
2016-17,18,Sporting Gijón,2–4,2–1,1–4,0–5,1–1,0–1,2–3,1–1,3–1,1–0,2–1,0–1,3–1,2–2,2–3,1–3,1–1,,1–2,1–3,,,18,38,7,10,21,31,0.18421052631578946,0.5526315789473685,0.2719298245614035
2016-17,19,Valencia,2–1,2–0,0–2,2–3,3–2,3–0,0–4,2–1,1–1,2–4,1–0,2–2,4–1,2–3,2–1,2–3,0–0,1–1,,1–3,,,12,38,13,7,18,46,0.34210526315789475,0.47368421052631576,0.40350877192982454
2016-17,20,Villarreal,0–2,3–1,3–0,1–1,5–0,0–0,2–3,2–0,2–0,2–1,2–1,1–1,3–1,2–0,2–3,2–1,0–0,3–1,0–2,,,,5,38,19,10,9,67,0.5,0.23684210526315788,0.5877192982456141
2015-16,1,Athletic Bilbao,,0–1,0–1,2–1,4–1,5–2,2–1,3–1,1–1,2–2,2–0,0–0,1–0,3–1,1–2,0–1,3–1,3–0,3–1,0–0,,,5,38,18,8,12,62,0.47368421052631576,0.3157894736842105,0.543859649122807
2015-16,2,Atlético Madrid,2–1,,1–2,2–0,3–0,3–1,1–0,2–0,3–0,1–0,1–0,1–0,1–0,5–1,1–1,3–0,0–0,1–0,2–1,0–0,,,3,38,28,4,6,88,0.7368421052631579,0.15789473684210525,0.7719298245614035
2015-16,3,Barcelona,6–0,2–1,,6–1,2–2,3–1,5–0,6–0,4–0,2–1,4–1,1–0,5–2,4–0,1–2,4–0,2–1,6–0,1–2,3–0,,,1,38,29,4,5,91,0.7631578947368421,0.13157894736842105,0.7982456140350878
2015-16,4,Celta Vigo,0–1,0–2,4–1,,1–1,3–2,1–0,0–0,2–1,3–3,4–3,1–0,3–0,1–1,1–3,1–0,1–1,2–1,1–5,0–0,,,6,38,17,9,12,60,0.4473684210526316,0.3157894736842105,0.5263157894736842
2015-16,5,Deportivo La Coruña,2–2,1–1,0–8,2–0,,2–0,3–0,0–2,0–1,1–3,2–1,3–3,2–2,2–2,0–2,0–0,1–1,2–3,1–1,1–2,,,15,38,8,18,12,42,0.21052631578947367,0.3157894736842105,0.3684210526315789
2015-16,6,Eibar,2–0,0–2,0–4,1–1,1–1,,2–1,3–1,5–1,0–1,2–0,1–2,1–0,1–1,0–2,2–1,1–1,2–0,1–1,1–2,,,14,38,11,10,17,43,0.2894736842105263,0.4473684210526316,0.37719298245614036
2015-16,7,Espanyol,2–1,1–3,0–0,1–1,1–0,4–2,,1–0,1–1,1–0,1–1,2–0,2–1,0–3,0–6,0–5,1–0,1–2,1–0,2–2,,,13,38,12,7,19,43,0.3157894736842105,0.5,0.37719298245614036
2015-16,8,Getafe,0–1,0–1,0–2,0–1,0–0,1–1,3–1,,1–2,4–0,3–0,1–0,1–1,1–0,1–5,1–1,1–1,1–1,2–2,2–0,,,19,38,9,9,20,36,0.23684210526315788,0.5263157894736842,0.3157894736842105
2015-16,9,Granada,2–0,0–2,0–3,0–2,1–1,1–3,1–1,3–2,,3–2,5–1,0–0,2–2,1–1,1–2,0–3,2–1,2–0,1–2,1–3,,,16,38,10,9,19,39,0.2631578947368421,0.5,0.34210526315789475
2015-16,10,Las Palmas,0–0,0–3,1–2,2–1,0–2,0–2,4–0,4–0,4–1,,0–0,1–1,0–1,1–0,1–2,2–0,2–0,1–1,2–1,0–0,,,11,38,12,8,18,44,0.3157894736842105,0.47368421052631576,0.38596491228070173
2015-16,11,Levante,2–2,2–1,0–2,1–2,1–1,2–2,2–1,3–0,1–2,3–2,,0–1,2–1,0–1,1–3,0–4,1–1,0–0,1–0,1–0,,,20,38,8,8,22,32,0.21052631578947367,0.5789473684210527,0.2807017543859649
2015-16,12,Málaga,0–1,1–0,1–2,2–0,2–0,0–0,1–1,3–0,2–2,4–1,3–1,,1–1,0–1,1–1,3–1,0–0,1–0,1–2,0–1,,,8,38,12,12,14,48,0.3157894736842105,0.3684210526315789,0.42105263157894735
2015-16,13,Rayo Vallecano,0–3,0–2,1–5,3–0,1–3,1–1,3–0,2–0,2–1,2–0,3–1,1–2,,0–2,2–3,2–2,2–2,2–1,0–0,2–1,,,18,38,9,11,18,38,0.23684210526315788,0.47368421052631576,0.3333333333333333
2015-16,14,Real Betis,1–3,0–1,0–2,1–1,1–2,0–4,1–3,2–1,2–0,1–0,1–0,0–1,2–2,,1–1,1–0,0–0,1–1,1–0,1–1,,,10,38,11,12,15,45,0.2894736842105263,0.39473684210526316,0.39473684210526316
2015-16,15,Real Madrid,4–2,0–1,0–4,7–1,5–0,4–0,6–0,4–1,1–0,3–1,3–0,0–0,10–2,5–0,,3–1,4–0,5–1,3–2,3–0,,,2,38,28,6,4,90,0.7368421052631579,0.10526315789473684,0.7894736842105263
2015-16,16,Real Sociedad,0–0,0–2,1–0,2–3,1–1,2–1,2–3,1–2,3–0,0–1,1–1,1–1,2–1,2–1,0–1,,2–0,0–0,2–0,0–2,,,9,38,13,9,16,48,0.34210526315789475,0.42105263157894735,0.42105263157894735
2015-16,17,Sevilla,2–0,0–3,2–1,1–2,1–1,1–0,2–0,5–0,1–4,2–0,3–1,2–1,3–2,2–0,3–2,1–2,,2–0,1–0,4–2,,,7,38,14,10,14,52,0.3684210526315789,0.3684210526315789,0.45614035087719296
2015-16,18,Sporting Gijón,0–2,2–1,1–3,0–1,1–1,2–0,2–4,1–2,3–3,3–1,0–3,1–0,2–2,1–2,0–0,5–1,2–1,,0–1,2–0,,,17,38,10,9,19,39,0.2631578947368421,0.5,0.34210526315789475
2015-16,19,Valencia,0–3,1–3,1–1,0–2,1–1,4–0,2–1,2–2,1–0,1–1,3–0,3–0,2–2,0–0,2–2,0–1,2–1,0–1,,0–2,,,12,38,11,11,16,44,0.2894736842105263,0.42105263157894735,0.38596491228070173
2015-16,20,Villarreal,3–1,1–0,2–2,1–2,0–2,1–1,3–1,2–0,1–0,0–1,3–0,1–0,2–1,0–0,1–0,0–0,2–1,2–0,1–0,,,,4,38,18,10,10,64,0.47368421052631576,0.2631578947368421,0.5614035087719298
2014-15,1,Almería,,0–1,0–1,1–2,2–2,1–1,0–0,2–0,2–2,1–1,1–0,3–0,1–4,1–2,0–1,1–4,2–2,0–2,2–3,0–0,,,19,38,8,8,22,32,0.21052631578947367,0.5789473684210527,0.2807017543859649
2014-15,2,Athletic Bilbao,2–1,,1–4,2–5,1–1,0–1,1–1,0–0,1–2,3–1,4–0,0–1,3–0,1–1,1–0,1–0,1–1,1–0,1–1,4–0,,,7,38,15,10,13,55,0.39473684210526316,0.34210526315789475,0.4824561403508772
2014-15,3,Atlético Madrid,3–0,0–0,,0–1,2–2,4–2,2–0,2–1,3–0,2–0,2–0,2–0,3–1,3–1,3–1,4–0,2–0,4–0,1–1,0–1,,,3,38,23,9,6,78,0.6052631578947368,0.15789473684210525,0.6842105263157895
2014-15,4,Barcelona,4–0,2–0,3–1,,0–1,5–0,2–2,3–0,3–0,5–1,6–0,6–0,5–0,0–1,6–1,2–1,2–0,5–1,2–0,3–2,,,1,38,30,4,4,94,0.7894736842105263,0.10526315789473684,0.8245614035087719
2014-15,5,Celta Vigo,0–1,1–2,2–0,0–1,,1–0,2–1,0–1,1–1,3–2,3–1,0–0,3–0,1–0,6–1,2–4,2–2,1–1,1–1,1–3,,,8,38,13,12,13,51,0.34210526315789475,0.34210526315789475,0.4473684210526316
2014-15,6,Córdoba,1–2,0–1,0–2,0–8,1–1,,0–0,1–1,0–2,0–0,1–2,2–0,0–0,1–2,1–2,1–2,1–1,1–3,1–2,0–2,,,20,38,3,11,24,20,0.07894736842105263,0.631578947368421,0.17543859649122806
2014-15,7,Deportivo La Coruña,0–1,1–0,1–2,0–4,0–2,1–1,,2–0,1–0,0–0,1–2,2–2,2–0,0–1,2–2,2–8,0–0,3–4,3–0,1–1,,,16,38,7,14,17,35,0.18421052631578946,0.4473684210526316,0.30701754385964913
2014-15,8,Eibar,5–2,0–1,1–3,0–2,0–1,3–0,0–1,,0–1,0–2,2–1,1–1,3–3,1–0,1–2,0–4,1–0,1–3,0–1,1–1,,,18,38,9,8,21,35,0.23684210526315788,0.5526315789473685,0.30701754385964913
2014-15,9,Elche,1–0,2–3,0–2,0–6,0–1,2–2,4–0,0–2,,2–1,0–1,1–1,1–0,1–2,2–0,0–2,1–0,0–2,0–4,2–2,,,13,38,11,8,19,41,0.2894736842105263,0.5,0.35964912280701755
2014-15,10,Espanyol,3–0,1–0,0–0,0–2,1–0,1–0,0–0,1–2,1–1,,2–0,2–1,2–1,2–2,1–1,1–4,2–0,1–2,1–2,1–1,,,10,38,13,10,15,49,0.34210526315789475,0.39473684210526316,0.4298245614035088
2014-15,11,Getafe,1–0,1–2,0–1,0–0,2–1,1–1,2–1,1–1,0–0,2–1,,1–2,0–1,1–0,1–2,0–3,0–1,2–1,0–3,1–1,,,15,38,10,7,21,37,0.2631578947368421,0.5526315789473685,0.32456140350877194
2014-15,12,Granada,0–0,0–0,0–0,1–3,1–1,2–0,2–1,0–0,1–0,1–2,1–1,,0–1,1–0,0–1,0–4,1–1,1–1,1–1,0–0,,,17,38,7,14,17,35,0.18421052631578946,0.4473684210526316,0.30701754385964913
2014-15,13,Levante,2–1,0–2,2–2,0–5,0–1,1–0,0–0,2–1,0–0,2–2,1–1,2–1,,4–1,0–2,0–5,1–1,1–2,2–1,0–2,,,14,38,9,10,19,37,0.23684210526315788,0.5,0.32456140350877194
2014-15,14,Málaga,1–2,1–0,2–2,0–0,1–0,2–0,1–1,2–1,1–2,0–2,3–2,2–1,0–0,,4–0,1–2,1–1,2–3,1–0,1–1,,,9,38,14,8,16,50,0.3684210526315789,0.42105263157894735,0.43859649122807015
2014-15,15,Rayo Vallecano,2–0,2–1,0–0,0–2,1–0,0–1,1–2,2–3,2–3,1–3,2–0,3–1,4–2,1–0,,0–2,2–4,0–1,1–1,2–0,,,11,38,15,4,19,49,0.39473684210526316,0.5,0.4298245614035088
2014-15,16,Real Madrid,3–0,5–0,1–2,3–1,3–0,2–0,2–0,3–0,5–1,3–0,7–3,9–1,2–0,3–1,5–1,,4–1,2–1,2–2,1–1,,,2,38,30,2,6,92,0.7894736842105263,0.15789473684210525,0.8070175438596491
2014-15,17,Real Sociedad,1–2,1–1,2–1,1–0,1–1,3–1,2–2,1–0,3–0,1–0,1–2,0–3,3–0,0–1,0–1,4–2,,4–3,1–1,0–0,,,12,38,11,13,14,46,0.2894736842105263,0.3684210526315789,0.40350877192982454
2014-15,18,Sevilla,2–1,2–0,0–0,2–2,1–0,3–0,4–1,0–0,3–0,3–2,2–0,5–1,1–1,2–0,2–0,2–3,1–0,,1–1,2–1,,,5,38,23,7,8,76,0.6052631578947368,0.21052631578947367,0.6666666666666666
2014-15,19,Valencia,3–2,0–0,3–1,0–1,1–1,3–0,2–0,3–1,3–1,3–1,1–0,4–0,3–0,3–0,3–0,2–1,2–0,3–1,,0–0,,,4,38,22,11,5,77,0.5789473684210527,0.13157894736842105,0.6754385964912281
2014-15,20,Villarreal,2–0,2–0,0–1,0–1,4–1,0–0,3–0,1–0,1–0,0–3,2–1,2–0,1–0,2–1,4–2,0–2,4–0,0–2,1–3,,,,6,38,16,12,10,60,0.42105263157894735,0.2631578947368421,0.5263157894736842
2013-14,1,Almería,,0–0,2–0,0–2,3–2,2–4,2–2,0–0,1–0,3–0,2–2,0–0,1–2,0–1,0–5,4–3,1–3,2–2,1–0,2–3,,,17,38,11,7,20,40,0.2894736842105263,0.5263157894736842,0.3508771929824561
2013-14,2,Athletic Bilbao,6–1,,1–2,1–0,2–1,3–2,2–2,1–2,1–0,4–0,2–1,3–0,2–0,2–1,1–1,1–1,3–1,1–1,4–2,2–0,,,4,38,20,10,8,70,0.5263157894736842,0.21052631578947367,0.6140350877192983
2013-14,3,Atlético Madrid,4–2,2–0,,0–0,5–0,2–1,2–0,1–0,7–0,1–0,3–2,1–1,2–1,5–0,2–2,4–0,1–1,3–0,3–0,1–0,,,1,38,28,6,4,90,0.7368421052631579,0.10526315789473684,0.7894736842105263
2013-14,4,Barcelona,4–1,2–1,1–1,,3–1,3–0,4–0,1–0,2–2,4–0,7–0,3–0,7–0,6–0,2–1,4–1,3–2,2–3,4–1,2–1,,,2,38,27,6,5,87,0.7105263157894737,0.13157894736842105,0.7631578947368421
2013-14,5,Betis,0–1,0–2,0–2,1–4,,1–2,1–2,2–0,2–0,0–0,0–0,1–2,1–2,2–2,0–5,0–1,0–2,3–1,4–3,1–0,,,9,38,14,7,17,49,0.3684210526315789,0.4473684210526316,0.4298245614035088
2013-14,6,Celta Vigo,3–1,0–0,0–2,0–3,4–2,,0–1,2–2,1–1,1–1,0–1,0–2,1–1,0–2,2–0,2–2,1–0,2–1,4–1,0–0,,,16,38,9,13,16,40,0.23684210526315788,0.42105263157894735,0.3508771929824561
2013-14,7,Elche,1–0,0–0,0–2,0–0,0–0,1–0,,2–1,1–0,0–1,1–1,0–1,0–0,2–0,1–2,1–1,1–1,2–1,0–0,0–1,,,14,38,11,9,18,42,0.2894736842105263,0.47368421052631576,0.3684210526315789
2013-14,8,Espanyol,1–2,3–2,1–0,0–1,0–0,1–0,3–1,,0–2,1–0,0–0,0–0,1–1,2–2,0–1,1–2,1–3,3–1,4–2,1–2,,,13,38,11,9,18,42,0.2894736842105263,0.47368421052631576,0.3684210526315789
2013-14,9,Getafe,2–2,0–1,0–2,2–5,3–1,2–0,1–1,0–0,,3–3,1–0,1–0,2–1,0–1,0–3,2–2,1–0,0–1,0–0,0–1,,,15,38,12,5,21,41,0.3157894736842105,0.5526315789473685,0.35964912280701755
2013-14,10,Granada,0–2,2–0,1–2,1–0,1–0,1–2,1–0,0–1,0–2,,0–2,3–1,0–0,0–3,0–1,1–3,1–2,0–1,4–0,2–0,,,10,38,12,12,14,48,0.3157894736842105,0.3684210526315789,0.42105263157894735
2013-14,11,Levante,1–0,1–2,2–0,1–1,1–3,0–1,2–1,3–0,0–0,0–1,,1–0,2–0,0–0,2–3,0–0,0–0,2–0,1–1,0–3,,,11,38,12,9,17,45,0.3157894736842105,0.4473684210526316,0.39473684210526316
2013-14,12,Málaga,2–0,1–2,0–1,0–1,3–2,0–5,0–1,1–2,1–0,4–1,1–0,,0–1,5–0,0–1,0–1,3–2,0–0,1–1,2–0,,,18,38,10,9,19,39,0.2631578947368421,0.5,0.34210526315789475
2013-14,13,Osasuna,0–1,1–5,3–0,0–0,2–1,0–2,2–1,1–0,2–0,1–2,0–1,0–2,,3–1,2–2,1–1,1–2,1–1,0–0,0–3,,,12,38,13,4,21,43,0.34210526315789475,0.5526315789473685,0.37719298245614036
2013-14,14,Rayo Vallecano,3–1,0–3,2–4,0–4,3–1,3–0,3–0,1–4,1–2,0–2,1–2,4–1,1–0,,2–3,1–0,0–1,1–0,0–3,2–5,,,20,38,6,7,25,25,0.15789473684210525,0.6578947368421053,0.21929824561403508
2013-14,15,Real Madrid,4–0,3–1,0–1,3–4,2–1,3–0,3–0,3–1,4–1,2–0,3–0,2–0,4–0,5–0,,5–1,7–3,2–2,4–0,4–2,,,3,38,27,6,5,87,0.7105263157894737,0.13157894736842105,0.7631578947368421
2013-14,16,Real Sociedad,3–0,2–0,1–2,3–1,5–1,4–3,4–0,2–1,2–0,1–1,0–0,0–0,5–0,2–3,0–4,,1–1,1–0,1–0,1–2,,,7,38,16,11,11,59,0.42105263157894735,0.2894736842105263,0.5175438596491229
2013-14,17,Sevilla,2–1,1–1,1–3,1–4,4–0,0–1,3–1,4–1,3–0,4–0,2–3,2–2,2–1,4–1,2–1,1–0,,0–0,4–1,0–0,,,5,38,18,9,11,63,0.47368421052631576,0.2894736842105263,0.5526315789473685
2013-14,18,Valencia,1–2,1–1,0–1,2–3,5–0,2–1,2–1,2–2,1–3,2–1,2–0,1–0,3–0,1–0,2–3,1–2,3–1,,2–2,2–1,,,8,38,13,10,15,49,0.34210526315789475,0.39473684210526316,0.4298245614035088
2013-14,19,Valladolid,1–0,1–2,0–2,1–0,0–0,3–0,2–2,1–0,1–0,0–1,1–1,2–2,0–1,1–1,1–1,2–2,2–2,0–0,,1–0,,,19,38,7,15,16,36,0.18421052631578946,0.42105263157894735,0.3157894736842105
2013-14,20,Villarreal,2–0,1–1,1–1,2–3,1–1,0–2,1–1,2–1,0–2,3–0,1–0,1–1,3–1,4–0,2–2,5–1,1–2,4–1,2–1,,,,6,38,17,8,13,59,0.4473684210526316,0.34210526315789475,0.5175438596491229
2012-13,1,Athletic Bilbao,,3–0,2–2,3–5,1–0,1–1,0–4,1–2,1–0,0–1,0–0,2–1,1–0,1–2,0–3,1–3,2–1,1–0,2–0,0–2,,,12,38,12,9,17,45,0.3157894736842105,0.4473684210526316,0.39473684210526316
2012-13,2,Atlético Madrid,4–0,,1–2,1–0,1–0,6–0,1–0,2–0,5–0,2–0,2–1,0–0,3–1,4–3,1–2,0–1,4–0,1–1,2–1,2–0,,,3,38,23,7,8,76,0.6052631578947368,0.21052631578947367,0.6666666666666666
2012-13,3,Barcelona,5–1,4–1,,4–2,3–1,2–0,4–0,6–1,2–0,1–0,4–1,5–1,5–1,3–1,2–2,5–1,2–1,1–0,2–1,3–1,,,1,38,32,4,2,100,0.8421052631578947,0.05263157894736842,0.8771929824561403
2012-13,4,Betis,1–1,2–4,1–2,,1–0,1–1,1–0,0–0,1–2,2–0,3–0,1–2,2–1,1–2,1–0,2–0,3–3,1–0,0–0,4–0,,,17,38,10,7,21,37,0.2631578947368421,0.5526315789473685,0.32456140350877194
2012-13,5,Celta Vigo,1–1,1–3,2–2,0–1,,1–1,1–0,2–1,2–1,1–1,0–1,1–1,2–0,0–2,1–2,1–1,2–0,0–1,3–1,2–1,,,19,38,8,11,19,35,0.21052631578947367,0.5,0.30701754385964913
2012-13,6,Deportivo La Coruña,1–1,0–0,4–5,2–3,3–1,,2–0,1–1,0–3,0–2,1–0,1–0,2–0,0–0,1–2,0–1,0–2,2–3,0–0,3–2,,,13,38,11,11,16,44,0.2894736842105263,0.42105263157894735,0.38596491228070173
2012-13,7,Espanyol,3–3,0–1,0–2,1–0,1–0,2–0,,0–2,0–1,3–2,0–0,3–2,0–3,3–2,1–1,2–2,2–2,3–3,0–0,1–2,,,10,38,13,8,17,47,0.34210526315789475,0.4473684210526316,0.41228070175438597
2012-13,8,Getafe,1–0,0–0,1–4,2–4,3–1,3–1,0–2,,2–2,0–1,1–0,1–0,1–1,1–2,2–1,2–1,1–1,0–1,2–1,2–0,,,15,38,11,9,18,42,0.2894736842105263,0.47368421052631576,0.3684210526315789
2012-13,9,Granada,1–2,0–1,1–2,1–5,2–1,1–1,0–0,2–0,,1–1,1–0,1–2,3–0,2–0,1–0,0–0,1–1,1–2,1–1,1–2,,,11,38,12,10,16,46,0.3157894736842105,0.42105263157894735,0.40350877192982454
2012-13,10,Levante,3–1,1–1,0–4,1–1,0–1,0–4,3–2,0–0,3–1,,1–2,4–2,0–2,2–3,1–2,2–1,1–0,1–0,2–1,0–0,,,6,38,16,9,13,57,0.42105263157894735,0.34210526315789475,0.5
